Animal ID,Released,month,Sex,OE0,spore0,OE1,spore1,time since release,got spores,Recaptured 1,weekRecap,spores acquired
212,9/12/15,9,M,0,0,4,600,14,yes,9/26/15,20,600
240,9/12/15,9,M,0,0,4,585,14,yes,9/26/15,20,585
318,9/12/15,9,M,0,0,4,401,14,yes,9/26/15,20,401
321,9/12/15,9,M,0,0,4,383,14,yes,9/26/15,20,383
334,9/12/15,9,M,0,0,4,376,14,yes,9/26/15,20,376
306,9/12/15,9,F,0,0,4,333,14,yes,9/26/15,20,333
336,9/12/15,9,M,0,0,4,331,14,yes,9/26/15,20,331
431,9/12/15,9,M,0,0,4,312,14,yes,9/26/15,20,312
158,9/12/15,9,M,0,0,4,213,14,yes,9/26/15,20,213
268,9/12/15,9,M,0,0,4,197,14,yes,9/26/15,20,197
154,9/12/15,9,M,0,0,4,165,14,yes,9/26/15,20,165
202,9/12/15,9,M,0,0,4,154,14,yes,9/26/15,20,154
421,9/12/15,9,M,0,0,4,121,14,yes,9/26/15,20,121
328,9/12/15,9,F,0,0,3,67,14,yes,9/26/15,20,67
481,9/12/15,9,F,0,0,3,47,14,yes,9/26/15,20,47
327,9/12/15,9,M,0,0,4,40,14,yes,9/26/15,20,40
250,9/12/15,9,M,0,0,3,39,14,yes,9/26/15,20,39
337,9/12/15,9,M,0,0,4,38,14,yes,9/26/15,20,38
494,9/12/15,9,M,0,0,3,5,14,yes,9/26/15,20,5
308,9/12/15,9,M,3,65,3,105,14,yes,9/26/15,20,40
316,9/12/15,9,M,1,1,4,160,14,yes,9/26/15,20,159
123,8/23/15,8,M,0,0,4,540,20,yes,9/12/15,18,540
149,8/23/15,8,M,0,0,2,5,20,yes,9/12/15,18,5
133,8/23/15,8,M,0,0,4,1033,20,yes,9/12/15,18,1033
142,8/23/15,8,M,0,0,4,202,20,yes,9/12/15,18,202
303,8/29/15,8,F,0,0,4,206,14,yes,9/12/15,18,206
119,8/23/15,8,F,3,26,2,4,7,yes,8/30/15,16,26
110,8/8/15,8,F,1,1,2,5,21,yes,8/29/15,16,4
98,8/8/15,8,M,0,0,3,60,21,yes,8/29/15,16,60
123,8/23/15,8,M,0,0,2,13,6,yes,8/29/15,16,13
149,8/23/15,8,M,0,0,0,0,6,no,8/29/15,16,0
133,8/23/15,8,M,0,0,0,0,6,no,8/29/15,16,0
142,8/23/15,8,M,0,0,0,0,6,no,8/29/15,16,0
121,8/23/15,8,M,0,0,3,67,6,yes,8/29/15,16,67
134,8/23/15,8,M,0,0,3,33,6,yes,8/29/15,16,33
125,8/23/15,8,M,0,0,2,19,6,yes,8/29/15,16,19
124,8/23/15,8,M,0,0,1,1,6,yes,8/29/15,16,1
130,8/23/15,8,F,0,0,0,0,6,no,8/29/15,16,0
131,8/23/15,8,M,0,0,0,0,6,no,8/29/15,16,0
110,8/8/15,8,F,1,1,4,115,14,yes,8/22/15,15,114
98,8/8/15,8,M,0,0,3,70,14,yes,8/22/15,15,70
114,8/15/15,8,F,0,0,3,42,7,yes,8/22/15,15,42
115,8/15/15,8,M,0,0,3,25,7,yes,8/22/15,15,25
110,8/8/15,8,F,1,1,4,120,7,yes,8/15/15,15,119
74,7/29/15,7,M,0,0,3,91,17,yes,8/15/15,15,91
98,8/8/15,8,M,0,0,2,10,7,yes,8/15/15,15,10
75,8/2/15,8,F,0,0,4,105,13,yes,8/15/15,15,105
102,8/8/15,8,F,0,0,2,14,6,yes,8/14/15,15,14
74,7/29/15,7,M,0,0,2,15,10,yes,8/8/15,13,15
59,7/17/15,7,M,0,0,3,94,22,yes,8/8/15,13,94
61,7/17/15,7,M,0,0,2,5,22,yes,8/8/15,13,5
69,7/18/15,7,M,0,0,2,2,21,yes,8/8/15,13,2
74,7/29/15,7,M,0,0,0,0,3,no,8/1/15,12,0
59,7/17/15,7,M,0,0,4,151,15,yes,8/1/15,12,151
61,7/17/15,7,M,0,0,0,0,15,no,8/1/15,12,0
56,7/17/15,7,F,0,0,0,0,15,no,8/1/15,12,0
69,7/18/15,7,M,0,0,0,0,14,no,8/1/15,12,0
73,7/25/15,7,M,0,0,0,0,7,no,8/1/15,12,0
30,6/18/15,6,M,0,0,0,0,30,no,7/18/15,10,0
9,6/16/15,6,M,0,0,3,41,11,yes,6/27/15,7,41
10,6/16/15,6,F,0,0,0,0,11,no,6/27/15,7,0
11,6/16/15,6,F,0,0,0,0,11,no,6/27/15,7,0
26,6/16/15,6,F,0,0,0,0,11,no,6/27/15,7,0
22,6/17/15,6,F,0,0,0,0,10,no,6/27/15,7,0
40,6/19/15,6,M,0,0,0,0,8,no,6/27/15,7,0